,original_title,genre,release_year,runtime,prediction
388,Last Action Hero,"Adventure,Fantasy,Action,Comedy,Family",1993,130,1.0
389,Memoirs of a Geisha,"Drama,History,Romance",2005,145,0.0
390,The Fast and the Furious Tokyo Drift,"Action,Crime,Drama,Thriller",2006,104,0.0
391,Meet Joe Black,"Fantasy,Drama,Mystery",1998,178,1.0
392,Collateral Damage,"Action,Thriller,Drama",2002,108,0.0
393,Mirror Mirror,"Adventure,Fantasy,Drama,Comedy,Science Fiction,Family",2012,106,1.0
394,Scott Pilgrim vs. the World,"Action,Adventure,Comedy",2010,112,1.0
395,The Core,"Action,Thriller,Adventure,Science Fiction",2003,136,1.0
396,Nutty Professor II The Klumps,"Fantasy,Comedy,Romance,Science Fiction",2000,106,1.0
397,ScoobyDoo,"Mystery,Adventure,Comedy",2002,88,0.0
398,Dredd,"Action,Science Fiction",2012,95,1.0
399,Click,"Comedy,Drama,Fantasy,Romance",2006,107,0.0
400,Creepshow,"Horror,Comedy,Fantasy",1982,120,1.0
401,Cats & Dogs 2  The Revenge of Kitty Galore,"Comedy,Family",2010,82,0.0
402,Jumper,"Adventure,Fantasy,Science Fiction",2008,88,1.0
403,Hellboy II The Golden Army,"Adventure,Fantasy,Science Fiction",2008,120,1.0
404,Zodiac,"Crime,Drama,Mystery,Thriller",2007,157,1.0
405,The 6th Day,Science Fiction,2000,123,1.0
406,Bruce Almighty,"Fantasy,Comedy",2003,101,1.0
407,The Expendables,"Thriller,Adventure,Action",2010,103,1.0
408,Mission Impossible,"Adventure,Action,Thriller",1996,110,0.0
409,The Hunger Games,"Science Fiction,Adventure,Fantasy",2012,142,1.0
410,The Hangover Part II,Comedy,2011,102,0.0
411,Batman Returns,"Action,Fantasy",1992,126,1.0
412,Over the Hedge,"Comedy,Animation,Family",2006,83,0.0
413,Lilo & Stitch,"Animation,Family",2002,85,0.0
414,Charlotte's Web,"Comedy,Family,Fantasy",2006,97,1.0
415,Deep Impact,"Action,Drama,Romance",1998,120,1.0
416,The Longest Yard,"Comedy,Drama",2005,113,0.0
417,Alvin and the Chipmunks Chipwrecked,"Comedy,Fantasy,Family,Music,Animation",2011,87,1.0
418,Grown Ups 2,Comedy,2013,100,0.0
419,Get Smart,"Action,Comedy,Thriller",2008,110,0.0
420,Something's Gotta Give,"Drama,Comedy,Romance",2003,128,1.0
421,Shutter Island,"Drama,Thriller,Mystery",2010,138,1.0
422,Four Christmases,"Comedy,Romance,Drama",2008,88,0.0
423,Robots,"Animation,Comedy,Family,Science Fiction",2005,91,1.0
424,FaceOff,"Action,Crime,Science Fiction,Thriller",1997,138,0.0
425,Bedtime Stories,"Fantasy,Comedy,Family,Romance",2008,99,0.0
426,Road to Perdition,"Thriller,Crime,Drama",2002,117,1.0
427,Just Go with It,"Romance,Comedy",2011,117,0.0
428,Con Air,"Action,Thriller,Crime",1997,115,0.0
429,Eagle Eye,"Mystery,Thriller,Action",2008,118,0.0
430,Cold Mountain,Drama,2003,154,0.0
431,The Book of Eli,"Action,Thriller,Science Fiction",2010,118,0.0
432,Flubber,"Comedy,Family,Science Fiction",1997,93,0.0
433,The Haunting,"Horror,Thriller,Fantasy,Mystery",1999,113,1.0
434,Space Jam,"Animation,Comedy,Drama,Family,Fantasy",1996,88,0.0
435,The Day the Earth Stood Still,"Drama,Science Fiction,Thriller",2008,104,0.0
436,Conspiracy Theory,"Action,Drama,Mystery,Thriller",1997,135,1.0
437,Fury,"War,Drama,Action",2014,135,0.0
438,Six Days Seven Nights,"Action,Adventure,Comedy,Romance",1998,98,1.0
439,Yogi Bear,"Comedy,Family,Animation,Adventure",2010,80,1.0
440,Spirit Stallion of the Cimarron,"Western,Animation,Adventure,Comedy,Family",2002,83,0.0
441,Zookeeper,"Comedy,Romance,Family",2011,102,0.0
442,Lost in Space,"Adventure,Family,Science Fiction",1998,130,1.0
443,The Manchurian Candidate,"Drama,Thriller,Mystery",2004,129,0.0
444,Hotel Transylvania 2,"Animation,Comedy,Family",2015,89,1.0
445,Fantasia 2000,"Animation,Family,Music",1999,74,1.0
446,The Time Machine,"Science Fiction,Adventure,Action",2002,96,1.0
447,Swordfish,"Action,Crime,Thriller",2001,99,0.0
448,The Legend of Zorro,"Action,Adventure",2005,129,0.0
449,What Dreams May Come,"Drama,Fantasy,Romance",1998,113,1.0
450,The Brothers Grimm,"Adventure,Fantasy,Action,Comedy,Thriller",2005,118,1.0
451,Mars Attacks!,"Comedy,Fantasy,Science Fiction",1996,106,1.0
452,Surrogates,"Action,Science Fiction,Thriller",2009,89,1.0
453,Thirteen Days,"Drama,Thriller",2000,145,0.0
454,Daylight,"Action,Adventure,Thriller",1996,115,0.0
455,Walking With Dinosaurs,"Animation,Family,Adventure",2013,87,1.0
456,Battlefield Earth,"Action,Science Fiction,War",2000,118,0.0
457,Looney Tunes Back in Action,"Animation,Comedy,Family",2003,90,0.0
458,Nine,"Drama,Music,Romance",2009,112,1.0
459,Timeline,"Action,Adventure,Science Fiction",2003,116,0.0
460,The Postman,"Drama,Adventure",1997,177,0.0
461,Babe Pig in the City,"Adventure,Comedy,Drama,Family,Fantasy",1998,92,0.0
462,The Last Witch Hunter,"Fantasy,Action,Adventure",2015,106,0.0
463,Red Planet,"Thriller,Action,Science Fiction",2000,106,1.0
464,Arthur et les Minimoys,"Adventure,Fantasy,Animation,Family",2006,94,1.0
465,A Sound of Thunder,"Thriller,Science Fiction,Adventure,Action",2005,110,1.0
466,Pompeii,"Action,Adventure,History,Romance,Drama",2014,105,0.0
467,A Beautiful Mind,"Drama,Romance",2001,135,0.0
468,The Lion King,"Family,Animation,Drama",1994,89,0.0
469,Journey 2 The Mysterious Island,"Adventure,Action,Science Fiction",2012,94,0.0
470,Cloudy with a Chance of Meatballs 2,"Animation,Family,Comedy",2013,95,1.0
471,Red Dragon,"Crime,Thriller,Horror",2002,124,1.0
472,Hidalgo,"Western,Adventure",2004,136,1.0
473,Jack and Jill,Comedy,2011,91,0.0
474,2 Fast 2 Furious,"Action,Crime,Thriller",2003,107,1.0
475,The Little Prince,"Adventure,Animation,Fantasy",2015,92,1.0
476,The Invasion,"Science Fiction,Thriller",2007,99,1.0
477,The Adventures of Rocky & Bullwinkle,"Action,Adventure,Animation,Comedy,Family",2000,88,0.0
478,The Secret Life of Pets,"Animation,Family",2016,87,0.0
479,The League of Extraordinary Gentlemen,"Fantasy,Action,Thriller,Science Fiction",2003,110,1.0
480,Despicable Me 2,"Animation,Comedy,Family",2013,98,0.0
481,Independence Day,"Action,Adventure,Science Fiction",1996,145,1.0
482,The Lost World Jurassic Park,"Adventure,Action,Science Fiction",1997,129,1.0
483,Madagascar,"Family,Animation",2005,86,0.0
484,Children of Men,"Drama,Action,Thriller,Science Fiction",2006,109,1.0
485,XMen,"Adventure,Action,Science Fiction",2000,104,1.0
486,Wanted,"Action,Thriller,Crime",2008,110,1.0
487,The Rock,"Action,Adventure,Thriller",1996,136,0.0
488,Ice Age The Meltdown,"Animation,Family,Comedy,Adventure",2006,91,1.0
489,50 First Dates,"Comedy,Romance",2004,99,1.0
490,Hairspray,"Family,Comedy,Music,Romance",2007,117,0.0
491,Exorcist The Beginning,"Horror,Mystery,Thriller",2004,114,1.0
492,Now You See Me,"Thriller,Crime",2013,115,1.0
493,Grown Ups,Comedy,2010,102,1.0
494,The Terminal,"Comedy,Drama",2004,128,1.0
495,Hotel for Dogs,"Comedy,Family",2009,100,0.0
496,Vertical Limit,"Action,Adventure,Thriller",2000,124,1.0
497,Charlie Wilson's War,"Comedy,Drama,History",2007,102,0.0
498,Shark Tale,"Animation,Action,Comedy,Family",2004,90,0.0
499,Dreamgirls,Drama,2006,134,1.0
500,Be Cool,"Comedy,Crime",2005,118,0.0
501,Munich,"Drama,Action,History,Thriller",2005,164,1.0
502,Tears of the Sun,"Action,Drama,War",2003,121,1.0
503,Killers,"Action,Comedy,Thriller,Romance",2010,100,0.0
504,The Man from U.N.C.L.E.,"Comedy,Action,Adventure",2015,116,1.0
505,Spanglish,Comedy,2004,130,0.0
506,Monster House,"Animation,Comedy,Family,Fantasy",2006,91,0.0
507,Bandits,"Action,Comedy,Crime,Romance",2001,123,1.0
508,First Knight,"Action,Adventure,Drama,Romance",1995,134,1.0
509,Immortals,"Fantasy,Action,Drama",2011,110,0.0
510,Hostage,"Mystery,Drama,Thriller,Crime",2005,113,1.0
511,Titan A.E.,"Animation,Action,Science Fiction,Family,Adventure",2000,94,0.0
512,Hollywood Homicide,"Action,Adventure,Comedy,Thriller",2003,116,0.0
513,Soldier,"Action,War,Science Fiction",1998,99,1.0
514,Monkeybone,"Adventure,Fantasy,Animation,Action,Comedy",2001,93,0.0
515,Flight of the Phoenix,"Action,Adventure,Drama,Thriller",2004,113,1.0
516,Unbreakable,"Science Fiction,Thriller,Drama",2000,106,0.0
517,Minions,"Family,Animation,Adventure,Comedy",2015,91,1.0
518,Sucker Punch,"Action,Fantasy,Thriller",2011,110,1.0
519,Snake Eyes,"Crime,Mystery",1998,98,1.0
520,Sphere,Science Fiction,1998,134,1.0
521,The Angry Birds Movie,"Family,Animation",2016,97,0.0
522,Fool's Gold,"Romance,Comedy,Adventure",2008,112,0.0
523,Funny People,"Comedy,Drama",2009,146,0.0
524,The Kingdom,"Thriller,Action,Drama",2007,110,0.0
525,Talladega Nights The Ballad of Ricky Bobby,Comedy,2006,116,0.0
526,Dr. Dolittle 2,"Comedy,Family,Romance,Fantasy",2001,87,0.0
527,Braveheart,"Action,Drama,History,War",1995,177,0.0
528,Jarhead,"Drama,War",2005,125,1.0
529,The Simpsons Movie,"Animation,Comedy,Family",2007,87,1.0
530,The Majestic,"Drama,Romance",2001,152,0.0
531,Driven,Action,2001,116,0.0
532,Deux frres,"Adventure,Drama,Family",2004,109,1.0
533,The Village,"Drama,Mystery,Thriller",2004,108,1.0
534,Doctor Dolittle,"Comedy,Family,Fantasy",1998,85,0.0
535,Signs,"Drama,Thriller,Science Fiction,Mystery",2002,106,0.0
536,Shrek 2,"Adventure,Animation,Comedy,Family,Fantasy",2004,93,0.0
537,Cars,"Animation,Adventure,Comedy,Family",2006,117,0.0
538,Runaway Bride,"Comedy,Romance",1999,116,0.0
539,xXx,"Action,Adventure,Thriller",2002,124,0.0
540,The SpongeBob Movie Sponge Out of Water,"Animation,Adventure,Comedy,Family",2015,93,1.0
541,Ransom,"Action,Thriller",1996,117,1.0
542,Inglourious Basterds,"Drama,Action,Thriller,War",2009,153,0.0
543,Hook,"Adventure,Fantasy,Comedy,Family",1991,144,1.0
544,Die Hard 2,"Action,Thriller",1990,124,1.0
545,S.W.A.T.,"Action,Thriller,Crime",2003,117,1.0
546,Vanilla Sky,"Drama,Mystery,Romance,Science Fiction,Thriller",2001,136,1.0
547,Lady in the Water,"Drama,Thriller,Fantasy,Mystery",2006,110,1.0
548,AVP Alien vs. Predator,"Adventure,Science Fiction,Action",2004,101,0.0
549,Alvin and the Chipmunks The Squeakquel,"Comedy,Family,Animation,Fantasy,Music",2009,88,1.0
550,We Were Soldiers,"Action,History,War",2002,138,1.0
551,Olympus Has Fallen,"Action,Thriller",2013,120,1.0
552,Star Trek Insurrection,"Science Fiction,Action,Adventure,Thriller",1998,103,1.0
553,Battle Los Angeles,"Action,Science Fiction",2011,116,1.0
554,Big Fish,"Adventure,Fantasy,Drama",2003,125,1.0
555,War Horse,"Drama,War",2011,146,1.0
556,The Monuments Men,"War,Drama,History,Action",2014,118,1.0
557,The Abyss,"Adventure,Action,Thriller,Science Fiction",1989,139,1.0
558,Wall Street Money Never Sleeps,"Drama,Crime",2010,133,1.0
559,Dracula Untold,"Horror,Action,Drama,Fantasy,War",2014,92,1.0
560,The Siege,"Drama,Action,Thriller,Crime",1998,116,1.0
561,Stardust,"Adventure,Fantasy,Romance,Family",2007,127,1.0
562,Seven Years in Tibet,"Adventure,Drama,History",1997,136,0.0
563,The Dilemma,"Comedy,Drama",2011,111,1.0
564,Bad Company,"Action,Adventure,Comedy,Thriller",2002,116,1.0
565,Doom,"Adventure,Action,Horror",2005,105,0.0
566,I Spy,"Action,Adventure,Comedy,Thriller",2002,97,0.0
567,Underworld Awakening,"Fantasy,Action,Horror",2012,88,1.0
568,Rock of Ages,"Comedy,Drama,Music,Romance",2012,123,1.0
569,Hart's War,"Drama,War",2002,125,0.0
570,Killer Elite,"Action,Adventure,Thriller",2011,116,1.0
571,Ballistic Ecks vs. Sever,"Action,Adventure,Thriller",2002,91,1.0
572,Hard Rain,Thriller,1998,97,1.0
573,Osmosis Jones,"Adventure,Animation,Action,Comedy,Family",2001,95,0.0
574,Legends of Oz Dorothy's Return,"Animation,Music,Family",2013,88,1.0
575,Blackhat,"Crime,Drama,Mystery",2015,133,1.0
576,Sky Captain and the World of Tomorrow,"Mystery,Action,Thriller,Science Fiction,Adventure",2004,107,0.0
577,Basic Instinct 2,"Crime,Mystery,Thriller",2006,114,0.0
578,Escape Plan,"Action,Thriller",2013,115,0.0
579,The Legend of Hercules,"Action,Adventure",2014,99,1.0
580,The Sum of All Fears,"Thriller,Action,Drama",2002,124,1.0
581,The Twilight Saga Eclipse,"Adventure,Fantasy,Drama,Romance",2010,124,0.0
582,The Score,"Action,Crime,Thriller",2001,124,1.0
583,Despicable Me,"Animation,Family",2010,95,1.0
584,Money Train,"Action,Comedy,Crime",1995,103,1.0
585,Ted 2,Comedy,2015,115,0.0
586,Agora,"Adventure,Drama,History",2009,127,0.0
587,Mystery Men,"Adventure,Fantasy,Action,Comedy,Science Fiction",1999,121,1.0
588,Hall Pass,Comedy,2011,105,1.0
589,The Insider,"Drama,Thriller",1999,157,1.0
590,The Finest Hours,"Action,Drama,History,Thriller",2016,114,1.0
591,Body of Lies,"Action,Drama,Thriller",2008,128,1.0
592,Dinner for Schmucks,Comedy,2010,114,1.0
593,Abraham Lincoln Vampire Hunter,"Action,Fantasy,Horror",2012,94,0.0
594,Entrapment,"Romance,Drama,Mystery",1999,112,1.0
595,The X Files,"Mystery,Science Fiction,Thriller",1998,121,1.0
596,The Last Legion,"Action,Adventure,Fantasy,War",2007,102,0.0
597,Saving Private Ryan,"Drama,History,War",1998,169,1.0
598,Need for Speed,"Action,Crime,Drama,Thriller",2014,130,0.0
599,What Women Want,"Comedy,Romance",2000,127,1.0
600,Ice Age,"Animation,Comedy,Family,Adventure",2002,81,1.0
601,Dreamcatcher,"Drama,Horror,Science Fiction,Thriller",2003,136,0.0
602,Lincoln,"History,Drama",2012,149,0.0
603,The Matrix,"Action,Science Fiction",1999,136,0.0
604,Apollo 13,Drama,1995,140,1.0
605,The Santa Clause 2,"Fantasy,Comedy,Family",2002,104,1.0
606,Les Misrables,"Drama,Music,Romance",2012,157,0.0
607,You've Got Mail,"Comedy,Romance",1998,119,1.0
608,Step Brothers,Comedy,2008,98,0.0
609,The Mask of Zorro,"Action,Adventure",1998,136,0.0
610,Due Date,"Comedy,Drama",2010,95,1.0
611,Unbroken,"Drama,War",2014,137,1.0
612,Space Cowboys,"Action,Adventure,Thriller",2000,130,1.0
613,Cliffhanger,"Action,Adventure,Thriller",1993,112,1.0
614,Broken Arrow,"Action,Adventure,Drama,Thriller",1996,108,0.0
615,The Kid,"Fantasy,Comedy,Family",2000,104,1.0
616,World Trade Center,"Drama,History,Thriller",2006,128,1.0
617,The Dictator,Comedy,2012,83,1.0
618,Eyes Wide Shut,"Mystery,Drama",1999,159,1.0
619,Annie,"Comedy,Drama,Family",2014,119,0.0
620,Focus,"Romance,Comedy,Crime,Drama",2015,105,1.0
621,This Means War,"Action,Comedy,Romance",2012,103,1.0
622,Blade Trinity,"Science Fiction,Action,Horror,Thriller,Adventure,Fantasy",2004,123,1.0
623,Red Dawn,"Action,Thriller",1984,114,0.0
624,Resident Evil Retribution,"Action,Horror,Science Fiction",2012,95,1.0
625,Death Race,"Action,Thriller,Science Fiction",2008,105,1.0
626,The Long Kiss Goodnight,"Crime,Action,Mystery,Thriller",1996,120,0.0
627,Zathura A Space Adventure,"Family,Fantasy,Science Fiction,Adventure",2005,101,1.0
628,Fight Club,Drama,1999,139,0.0
629,We Are Marshall,Drama,2006,124,0.0
630,Hudson Hawk,"Action,Adventure,Comedy",1991,100,1.0
631,"I, Frankenstein","Horror,Thriller",2014,92,0.0
632,Oliver Twist,"Crime,Drama,Family",2005,130,0.0
633,Elektra,"Action,Fantasy",2005,97,0.0
634,Sin City A Dame to Kill For,"Crime,Thriller",2014,102,0.0
635,Random Hearts,"Drama,Romance",1999,133,0.0
636,Everest,"Adventure,Drama",2015,121,0.0
637,Perfume The Story of a Murderer,"Crime,Fantasy,Drama",2006,147,0.0
638,Austin Powers in Goldmember,"Comedy,Crime,Science Fiction",2002,94,0.0
639,Astro Boy,"Animation,Action,Family,Science Fiction",2009,94,0.0
640,Jurassic Park,"Adventure,Science Fiction",1993,127,0.0
641,Wyatt Earp,"Drama,Action,Western",1994,191,0.0
642,Clear and Present Danger,"Action,Drama,Thriller",1994,141,1.0
643,Little Man,"Comedy,Crime",2006,98,0.0
644,U571,"Action,Drama,Thriller,War",2000,116,0.0
645,The American President,"Comedy,Drama,Romance",1995,106,0.0
646,The Love Guru,"Comedy,Romance",2008,87,0.0
647,3000 Miles to Graceland,"Action,Adventure,Comedy,Thriller,Crime",2001,125,1.0
648,The Hateful Eight,"Crime,Drama,Mystery,Western",2015,167,0.0
649,Hop,"Animation,Comedy,Family",2011,95,1.0
650,300,"Action,Adventure,War",2006,117,1.0
651,Meet the Fockers,"Comedy,Romance",2004,115,0.0
652,Marley & Me,"Comedy,Family",2008,115,1.0
653,The Green Mile,"Fantasy,Drama,Crime",1999,189,1.0
654,Chicken Little,"Animation,Family,Comedy",2005,81,1.0
655,Gone Girl,"Mystery,Thriller,Drama",2014,145,1.0
656,The Bourne Identity,"Action,Drama,Mystery,Thriller",2002,119,1.0
657,GoldenEye,"Adventure,Action,Thriller",1995,130,0.0
658,The General's Daughter,"Crime,Drama,Mystery,Thriller",1999,116,1.0
659,The Truman Show,"Comedy,Drama",1998,103,1.0
660,The Prince of Egypt,"Adventure,Animation,Drama,Family,Music",1998,99,1.0
661,Daddy Day Care,"Comedy,Family",2003,92,0.0
662,2 Guns,"Action,Comedy,Crime",2013,109,1.0
663,Cats & Dogs,"Comedy,Family",2001,87,0.0
664,The Italian Job,"Action,Crime",2003,110,1.0
665,Two Weeks Notice,"Romance,Comedy",2002,101,1.0
666,Antz,"Adventure,Animation,Comedy,Family",1998,83,1.0
667,Couples Retreat,"Comedy,Romance",2009,113,0.0
668,Days of Thunder,Adventure,1990,107,1.0
669,Cheaper by the Dozen 2,Comedy,2005,94,0.0
670,Maze Runner The Scorch Trials,Action,2015,132,1.0
671,Eat Pray Love,Drama,2010,133,1.0
672,RED,"Action,Adventure,Comedy,Crime,Thriller",2010,111,1.0
673,Any Given Sunday,Drama,1999,163,0.0
674,The Horse Whisperer,"Drama,Romance",1998,170,0.0
675,Collateral,"Drama,Crime,Thriller",2004,120,1.0
676,The Scorpion King,"Action,Fantasy,Adventure",2002,92,1.0
677,Ladder 49,"Drama,Action,Thriller",2004,115,0.0
678,Jack Reacher,"Crime,Drama,Thriller",2012,130,0.0
679,Deep Blue Sea,"Action,Science Fiction,Thriller",1999,105,1.0
680,Contagion,"Drama,Thriller,Science Fiction",2011,106,2.0
681,Coraline,"Animation,Family",2009,100,0.0
682,The Happening,"Thriller,Science Fiction",2008,91,0.0
683,Man on Fire,"Action,Drama,Thriller,Crime",2004,146,0.0
684,The Shaggy Dog,"Comedy,Family",2006,98,0.0
685,Starsky & Hutch,"Comedy,Crime",2004,101,1.0
686,Jingle All the Way,"Family,Comedy",1996,89,1.0
687,Hellboy,"Fantasy,Action,Science Fiction",2004,122,0.0
688,A Civil Action,Drama,1998,115,1.0
689,ParaNorman,"Family,Animation,Adventure,Comedy",2012,90,1.0
690,The Jackal,"Action,Thriller,Adventure,Crime",1997,124,1.0
691,Paycheck,"Action,Adventure,Mystery,Science Fiction,Thriller",2003,119,0.0
692,The Tale of Despereaux,"Adventure,Animation,Family",2008,93,0.0
693,Under Siege 2 Dark Territory,"Action,Thriller",1995,100,0.0
694,Jack Ryan Shadow Recruit,"Action,Drama,Thriller",2014,105,0.0
695,Joy,"Drama,Comedy",2015,124,0.0
696,London Has Fallen,"Action,Crime,Thriller",2016,99,1.0
697,Alien Resurrection,"Science Fiction,Horror,Action",1997,109,0.0
698,Shooter,"Action,Drama,Mystery,Thriller,Crime",2007,124,0.0
699,The Boxtrolls,"Animation,Comedy,Family,Fantasy",2014,97,0.0
700,Practical Magic,"Drama,Fantasy,Comedy",1998,104,1.0
701,The Lego Movie,"Adventure,Animation,Comedy,Family,Fantasy",2014,100,1.0
702,Reign of Fire,"Adventure,Action,Fantasy",2002,101,0.0
703,Gangster Squad,"Crime,Drama,Action,Thriller",2013,113,1.0
704,Year One,"Comedy,Adventure",2009,97,1.0
705,Invictus,"Drama,History",2009,134,1.0
706,State of Play,Action,2009,127,0.0
707,Duplicity,"Romance,Comedy,Crime",2009,125,0.0
708,My Favorite Martian,"Comedy,Drama,Family,Science Fiction",1999,94,1.0
709,The Sentinel,"Action,Thriller,Crime",2006,108,1.0
710,Planet 51,"Science Fiction,Animation,Family,Comedy,Adventure",2009,91,0.0
711,Star Trek Nemesis,"Science Fiction,Action,Adventure,Thriller",2002,117,0.0
712,Intolerable Cruelty,"Crime,Comedy,Romance",2003,100,0.0
713,Edge of Darkness,"Crime,Drama,Mystery,Thriller",2010,117,1.0
714,The Relic,"Horror,Mystery,Thriller",1997,110,1.0
715,Analyze That,"Comedy,Crime",2002,96,1.0
716,Righteous Kill,"Action,Crime,Drama,Thriller",2008,101,0.0
717,The Soloist,Drama,2009,109,1.0
718,The Legend of Bagger Vance,"Fantasy,Drama",2000,126,1.0
719,Almost Famous,"Drama,Music",2000,122,0.0
720,xXx State of the Union,"Action,Adventure,Crime,Drama,Mystery,Thriller",2005,101,0.0
721,Priest,"Action,Science Fiction,Fantasy,Thriller,Horror",2011,87,0.0
722,Sinbad Legend of the Seven Seas,"Family,Animation,Adventure",2003,86,1.0
723,Event Horizon,"Horror,Science Fiction,Mystery",1997,96,1.0
724,Dragonfly,Drama,2002,104,1.0
725,The Black Dahlia,Drama,2006,121,1.0
726,Flyboys,"Action,Adventure,Drama,History,Romance,War",2006,140,0.0
727,The Last Castle,"Action,Drama,Thriller",2001,131,1.0
728,Supernova,"Horror,Science Fiction,Thriller",2000,91,0.0
729,Winter's Tale,"Drama,Fantasy,Mystery,Romance",2014,118,0.0
730,The Mortal Instruments City of Bones,"Action,Adventure,Drama,Mystery,Romance,Fantasy",2013,130,1.0
731,Meet Dave,"Comedy,Science Fiction,Adventure,Family",2008,90,0.0
732,Dark Water,"Drama,Horror,Thriller",2005,105,1.0
733,Inkheart,"Adventure,Family,Fantasy",2008,106,0.0
734,The Spirit,"Action,Comedy,Thriller,Crime,Science Fiction",2008,103,1.0
735,Mortdecai,"Comedy,Adventure",2015,106,1.0
736,The Great Raid,"Action,History,War",2005,132,1.0
737,Deadpool,"Action,Adventure,Comedy",2016,108,1.0
738,American Sniper,"War,Action",2014,133,0.0
739,Goosebumps,"Adventure,Horror,Comedy",2015,103,1.0
740,Just Like Heaven,"Comedy,Fantasy,Romance",2005,95,0.0
741,The Flintstones in Viva Rock Vegas,"Science Fiction,Comedy,Family,Romance",2000,90,0.0
742,Rambo III,"Action,Adventure,Thriller,War",1988,102,1.0
743,Leatherheads,"Comedy,Romance,Drama",2008,114,0.0
744,Did You Hear About the Morgans?,Comedy,2009,103,0.0
745,The Internship,Comedy,2013,119,1.0
746,Resident Evil Afterlife,"Action,Adventure,Horror,Science Fiction",2010,97,0.0
747,Red Tails,"Drama,Action,Adventure,History,War",2012,125,1.0
748,The Devil's Advocate,"Drama,Horror,Mystery,Thriller",1997,144,0.0
749,That's My Boy,Comedy,2012,116,0.0
750,DragonHeart,Fantasy,1996,103,1.0
751,After the Sunset,"Action,Comedy,Crime,Drama",2004,97,1.0
752,Ghost Rider Spirit of Vengeance,"Action,Fantasy,Thriller",2011,95,1.0
753,Captain Corelli's Mandolin,"Drama,History,Romance",2001,131,0.0
754,The Pacifier,"Action,Comedy,Drama,Family,Thriller",2005,95,0.0
755,Walking Tall,"Adventure,Drama,Action,Thriller",2004,86,0.0
756,Forrest Gump,"Comedy,Drama,Romance",1994,142,1.0
757,Alvin and the Chipmunks,"Comedy,Music,Family,Fantasy,Animation",2007,92,0.0
758,Meet the Parents,"Comedy,Romance",2000,108,1.0
759,Pocahontas,"Adventure,Animation,Drama,Family",1995,81,0.0
760,Superman,"Action,Adventure,Fantasy,Science Fiction",1978,143,1.0
761,The Nutty Professor,"Fantasy,Comedy,Romance,Science Fiction",1996,95,1.0
762,Hitch,"Comedy,Drama,Romance",2005,118,1.0
763,American Wedding,"Comedy,Romance",2003,103,1.0
764,Captain Phillips,"Action,Drama,Thriller",2013,134,1.0
765,Date Night,Comedy,2010,97,1.0
766,Casper,"Fantasy,Comedy,Family",1995,100,0.0
767,The Equalizer,"Thriller,Action,Crime",2014,132,0.0
768,Maid in Manhattan,"Comedy,Drama,Romance",2002,105,0.0
769,Crimson Tide,"Action,Thriller,Drama",1995,116,1.0
770,The Pursuit of Happyness,Drama,2006,117,2.0
771,Flightplan,"Thriller,Drama,Mystery",2005,98,0.0
772,Disclosure,"Drama,Thriller,Crime,Mystery,Romance",1994,123,1.0
773,City of Angels,"Drama,Fantasy,Romance",1998,114,1.0
774,Kill Bill Vol. 1,"Action,Crime",2003,111,1.0
775,Kill Bill Vol. 2,"Action,Crime,Thriller",2004,136,0.0
776,Tango & Cash,"Action,Adventure,Comedy",1989,104,1.0
777,Death Becomes Her,"Fantasy,Comedy",1992,104,0.0
778,Shanghai Noon,"Adventure,Action,Comedy,Western",2000,110,1.0
779,Executive Decision,"Action,Adventure,Drama,Thriller",1996,133,0.0
780,Mr. Popper's Penguins,"Comedy,Family",2011,94,1.0
781,The Forbidden Kingdom,"Action,Adventure,Fantasy",2008,104,1.0
782,Free Birds,"Animation,Comedy,Family",2013,91,1.0
783,Alien�,"Science Fiction,Action,Horror",1992,114,0.0
784,Evita,"History,Drama,Music",1996,134,0.0
785,Ronin,"Action,Thriller,Crime,Adventure",1998,122,1.0
786,The Ghost and the Darkness,Adventure,1996,109,1.0
787,Paddington,"Family,Comedy",2014,95,1.0
788,The Watch,Comedy,2012,98,1.0
789,The Hunted,"Drama,Action,Thriller,Crime",2003,94,1.0
790,Stuck on You,Comedy,2003,118,0.0
791,The Pirates! In an Adventure with Scientists!,"Animation,Adventure,Family,Comedy",2012,88,1.0
792,Changeling,"Crime,Drama,Mystery",2008,141,0.0
793,Chain Reaction,"Action,Drama,Science Fiction,Thriller",1996,107,0.0
794,The Fan,"Drama,Mystery,Thriller",1996,116,0.0
795,The Phantom of the Opera,"Thriller,Drama,Romance",2004,143,0.0
796,Elizabeth The Golden Age,"Drama,History,Romance",2007,114,1.0
797,�on Flux,"Action,Science Fiction",2005,93,0.0
798,Gods and Generals,"Drama,History,War",2003,214,1.0
799,Turbulence,"Action,Thriller,Crime",1997,100,1.0
800,Muppets Most Wanted,"Comedy,Adventure,Crime,Family",2014,112,0.0
801,Thunderbirds,"Action,Adventure,Comedy,Family,Fantasy,Science Fiction",2004,95,0.0
802,Burlesque,"Drama,Romance",2010,119,0.0
803,Lolita,"Drama,Romance",1962,153,0.0
804,DTox,"Action,Thriller",2002,96,0.0
805,Blade II,"Fantasy,Horror,Action,Thriller",2002,117,1.0
806,Seven Pounds,Drama,2008,123,2.0
807,Bullet to the Head,"Action,Crime,Thriller",2013,92,1.0
808,The Godfather Part III,"Crime,Drama,Thriller",1990,162,1.0
809,Elizabethtown,"Comedy,Drama,Romance",2005,123,0.0
