,original_title,genre,release_year,runtime,overview,mood
534,Doctor Dolittle,Comedy,1998,1.5,"A successful physician and devoted family man, John Dolittle (Eddie Murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",Happy
535,Signs,Drama,2002,2.0,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,Happy
536,Shrek 2,Adventure,2004,1.5,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",Happy
537,Cars,Animation,2006,2.0,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",Happy
538,Runaway Bride,Comedy,1999,2.0,"Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly.",Happy
539,xXx,Action,2002,2.0,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government recruits him to go on a mission, he's not exactly thrilled. His mission to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",Happy
540,The SpongeBob Movie Sponge Out of Water,Animation,2015,1.5,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",Happy
541,Ransom,Action,1996,2.0,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",Happy
542,Inglourious Basterds,Drama,2009,2.5,"In Nazioccupied France during World War II, a group of JewishAmerican soldiers known as The Basterds are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a FrenchJewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Happy
543,Hook,Adventure,1991,2.5,"The boy who wasn't supposed to grow up Peter Pan did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this familyoriented fantasy from director Steven Spielberg.",Happy
544,Die Hard 2,Action,1990,2.0,"John McClane is an offduty cop gripped with a feeling of  vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one McClane's smartmouthed heroics.",Happy
545,S.W.A.T.,Action,2003,2.0,"Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",Happy
546,Vanilla Sky,Drama,2001,2.5,"David Aames (Tom Cruise) has it all wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",Happy
547,Lady in the Water,Drama,2006,2.0,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",Happy
548,AVP Alien vs. Predator,Adventure,2004,1.5,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",Happy
549,Alvin and the Chipmunks The Squeakquel,Comedy,2009,1.5,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twentysomething nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes  Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",Happy
550,We Were Soldiers,Action,2002,2.5,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,Happy
551,Olympus Has Fallen,Action,2013,2.0,"When the White House (Secret Service Code Olympus) is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",Happy
552,Star Trek Insurrection,Science Fiction,1998,1.5,"When an alien race and factions within Starfleet attempt to take over a planet that has regenerative properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",Happy
553,Battle Los Angeles,Action,2011,2.0,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",Happy
554,Big Fish,Adventure,2003,2.0,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",Happy
555,War Horse,Drama,2011,2.5,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",Happy
556,The Monuments Men,War,2014,2.0,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven overthehill, outofshape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the worlds artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",Happy
557,The Abyss,Adventure,1989,2.5,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",Happy
558,Wall Street Money Never Sleeps,Drama,2010,2.0,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",Happy
559,Dracula Untold,Horror,2014,1.5,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",Happy
560,The Siege,Drama,1998,2.0,The secret US abduction of a suspected terrorist leads to a wave of terrorist attacks in New York that lead to the declaration of martial law.,Happy
561,Stardust,Adventure,2007,2.0,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",Happy
562,Seven Years in Tibet,Adventure,1997,2.5,"Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14yearold Dalai Lama, whose friendship ultimately transforms his outlook on life.",Happy
563,The Dilemma,Comedy,2011,2.0,"Longtime friends Ronny and Nick are partners in an autodesign firm. They are hard at work on a presentation for a dream project that would really launch their company. Then Ronny spots Nick's wife out with another man, and in the process of investigating the possible affair, he learns that Nick has a few secrets of his own. As the presentation nears, Ronny agonizes over what might happen if the truth gets out.",Happy
564,Bad Company,Action,2002,2.0,"When a Harvardeducated CIA agent is killed during an operation, the secret agency recruits his twin brother.",Happy
565,Doom,Adventure,2005,2.0,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters and is highly infectious.",Happy
566,I Spy,Action,2002,1.5,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.",Happy
567,Underworld Awakening,Fantasy,2012,1.5,"After being held in a comalike state for fifteen years, vampire Selene learns that she has a fourteenyearold vampireLycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",Happy
568,Rock of Ages,Comedy,2012,2.0,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.",Happy
569,Hart's War,Drama,2002,2.0,"Fourthgeneration Army Col. William McNamara is imprisoned in a brutal German POW camp. Still, as the seniorranking American officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the Luftwafe vetran Col. Wilhelm Visser. Never giving up the fight to win the war, McNamara is silently planning, waiting for his moment to strike back at the enemy. A murder in the camp gives him the chance to set a risky plan in motion. With a court martial to keep Visser and the Germans distracted, McNamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young Lt. Tommy Hart. Together with his men, McNamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country.",Happy
570,Killer Elite,Action,2011,2.0,"Based on a shocking true story, Killer Elite pits two of the worlds most elite operativesDanny, an exspecial ops agent and Hunter, his longtime mentoragainst the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mousewhere the predators become the prey.",Happy
571,Ballistic Ecks vs. Sever,Action,2002,1.5,"Jonathan Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a microdevice that can be injected into victims in order to kill them at will.",Happy
572,Hard Rain,Thriller,1998,1.5,"Get swept up in the action as an armored car driver (Christian Slater) tries to elude a gang of thieves (led by Morgan Freeman) while a flood ravages the countryside. Hard Rain is a wild, thrilling, chilling action ride filled with close calls, uncertain loyalties and heartstopping heroics.",Happy
573,Osmosis Jones,Adventure,2001,1.5,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",Happy
574,Legends of Oz Dorothy's Return,Animation,2013,1.5,"Dorothy wakes up in posttornado Kansas, only to be whisked back to Oz to try to save her old friends the Scarecrow, the Lion, the Tin Man and Glinda from a devious new villain, the Jester. Wiser the owl, Marshal Mallow, China Princess and Tugg the tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City.",Happy
575,Blackhat,Crime,2015,2.0,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,Happy
576,Sky Captain and the World of Tomorrow,Mystery,2004,2.0,"When gigantic robots attack New York City, Sky Captain uses his private air force to fight them off. His exgirlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.",Happy
577,Basic Instinct 2,Crime,2006,2.0,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",Happy
578,Escape Plan,Action,2013,2.0,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escapeproof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",Happy
579,The Legend of Hercules,Action,2014,1.5,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this actionpacked epic  a tale of love, sacrifice and the strength of the human spirit.",Happy
580,The Sum of All Fears,Thriller,2002,2.0,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.",Happy
581,The Twilight Saga Eclipse,Adventure,2010,2.0,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",Happy
582,The Score,Action,2001,2.0,An aging thief hopes to retire and live off his illgotten wealth when a young kid convinces him into doing one last heist.,Happy
583,Despicable Me,Animation,2010,1.5,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Happy
584,Money Train,Action,1995,1.5,"A vengeful New York transit cop decides to steal a trainload of subway fares his foster brother, a fellow cop, tries to protect him.",Happy
585,Ted 2,Comedy,2015,2.0,"Newlywed couple Ted and TamiLynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Happy
586,Agora,Adventure,2009,2.0,"A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.",Happy
587,Mystery Men,Adventure,1999,2.0,"When Captain Amazing (Kinnear) is kidnapped by Casanova Frankenstein (Rush) a group of superheroes combine together to create a plan. But these aren't normal superheroes. Now, the group who include such heroes as Mr. Furious (Stiller), The Shoveller (Macy) and The Blue Raja (Azaria) must put all the powers together to save everyone they know and love.",Happy
588,Hall Pass,Comedy,2011,2.0,"When best buds Rick and Fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages they grant the guys a hall pass, one week of freedom to do whatever they want. At first, it seems like a dream come true, but they quickly discover that their expectations of the single life  and themselves  are completely and hilariously out of sync with reality.",Happy
589,The Insider,Drama,1999,2.5,"Tells the true story of a 60 Minutes television series expose of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand",Happy
590,The Finest Hours,Action,2016,2.0,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,Happy
591,Body of Lies,Action,2008,2.0,"The CIAs hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agencys man on the ground, moving from place to place, scrambling to stay ahead of evershifting events. An eye in the sky a satellite link watches Ferris.  At the other end of that realtime link is the CIAs Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",Happy
592,Dinner for Schmucks,Comedy,2010,2.0,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a careerboost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",Happy
593,Abraham Lincoln Vampire Hunter,Action,2012,1.5,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slaveowning helpers.",Happy
594,Entrapment,Romance,1999,2.0,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",Happy
595,The X Files,Mystery,1998,2.0,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth.",Happy
596,The Last Legion,Action,2007,1.5,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",Happy
597,Saving Private Ryan,Drama,1998,3.0,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating Germanheld territory and bringing the boy home.",Happy
598,Need for Speed,Action,2014,2.0,"The film revolves around a local streetracer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New YorktoLos Angeles race to get revenge. But when the expartner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a crosscountry gauntlet of illegal racers in all manner of supercharged vehicles.",Happy
599,What Women Want,Comedy,2000,2.0,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",Happy
600,Ice Age,Animation,2002,1.5,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters Manny the woolly mammoth, Diego the sabertoothed tiger and Sid the giant sloth find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",Happy
601,Dreamcatcher,Drama,2003,2.5,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante  and then overcome a threat to the bond that unites the four of them.",Happy
602,Lincoln,History,2012,2.5,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",Happy
603,The Matrix,Action,1999,2.5,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Happy
604,Apollo 13,Drama,1995,2.5,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",Happy
605,The Santa Clause 2,Fantasy,2002,1.5,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin also known as Santa Claus finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.",Happy
606,Les Misrables,Drama,2012,2.5,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19thcentury France, in which a paroled prisoner named Jean Valjean seeks redemption.",Happy
607,You've Got Mail,Comedy,1998,2.0,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet  both blissfully unaware that he's putting her out of business.",Happy
608,Step Brothers,Comedy,2008,1.5,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.",Happy
609,The Mask of Zorro,Action,1998,2.5,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",Happy
610,Due Date,Comedy,2010,1.5,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'nofly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",Happy
611,Unbroken,Drama,2014,2.5,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",Happy
612,Space Cowboys,Action,2000,2.0,"Frank Corvin, Hawk Hawkins, Jerry O'Neill and Tank� Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious Ikon communications satellite's orbit begins to degrade and threatens to crash to Earth.",Happy
613,Cliffhanger,Action,1993,2.0,"A year after losing his friend in a tragic 4,000foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",Happy
614,Broken Arrow,Action,1996,2.0,"When rogue stealthfighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads and Deakins's copilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",Happy
615,The Kid,Fantasy,2000,1.5,"Powerful businessman Russ Duritz is selfabsorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8yearold version of himself who can't believe he could turn out so badly with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.",Happy
616,World Trade Center,Drama,2006,2.0,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.",Happy
617,The Dictator,Comedy,2012,1.5,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,Happy
618,Eyes Wide Shut,Mystery,1999,2.5,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings and quickly discovers that he is in over his head.",Happy
619,Annie,Comedy,2014,2.0,"Ever since her parents left her as a baby, little Annie has led a hardknock life with her calculating foster mother, Miss Hannigan. However, all that changes when hardnosed billionaire and mayoral candidate Will Stacks takes her in on the recommendation of his advisers. Stacks believes that he's Annie's guardian angel, but the plucky youngster's confidence and sunny outlook may mean that Annie will save Will instead.",Happy
620,Focus,Romance,2015,2.0,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess now an accomplished femme fatale unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.",Happy
621,This Means War,Action,2012,1.5,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,Happy
622,Blade Trinity,Science Fiction,2004,2.0,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed  The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.",Happy
623,Red Dawn,Action,1984,2.0,"It is the mid1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.",Happy
624,Resident Evil Retribution,Action,2012,1.5,"The Umbrella Corporations deadly Tvirus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human races last and only hope, Alice, awakens in the heart of Umbrellas most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mindblowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.",Happy
625,Death Race,Action,2008,2.0,"Terminal Island, New York 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",Happy
626,The Long Kiss Goodnight,Crime,1996,2.0,"Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, topsecret agent",Happy
627,Zathura A Space Adventure,Family,2005,1.5,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a spacethemed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",Happy
628,Fight Club,Drama,1999,2.5,"A tickingtimebomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground fight clubs forming in every town, until an eccentric gets in the way and ignites an outofcontrol spiral toward oblivion.",Happy
629,We Are Marshall,Drama,2006,2.0,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive.",Happy
630,Hudson Hawk,Action,1991,1.5,"Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy.",Happy
631,"I, Frankenstein",Horror,2014,1.5,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.",Happy
632,Oliver Twist,Crime,2005,2.0,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",Happy
633,Elektra,Action,2005,1.5,"Elektra the warrior survives a neardeath experience, becomes an assassinforhire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Happy
634,Sin City A Dame to Kill For,Crime,2014,1.5,Some of Sin City's most hardboiled citizens cross paths with a few of its more reviled inhabitants.,Happy
635,Random Hearts,Drama,1999,2.0,After the death of their loved ones in a tragic plane crash 'Harrison Ford' and Kristin Scott Thomas find each others keys in each others loved ones posessions and realize that they were having an affair and must figure out all the details. Written by Andy HeitzThe wife of Police Sergeant Dutch Van Den Broek and the husband of politician Kay Chandler are killed in a plane crash. Now Dutch discovers some anomalies in what he told her before she left and discovers that she and Chandler's husband were travelling together. Dutch then goes to Chandler and tells her that he suspects that they were having an affair. He tells her that he wants to know the truth she tells him that she doesn't but she later joins him and they grow close.,Happy
636,Everest,Adventure,2015,2.0,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, Everest documents the aweinspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",Happy
637,Perfume The Story of a Murderer,Crime,2006,2.5,"JeanBaptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",Happy
